codigo_producto,item_nombre,frecuencia_venta,promedio_diario,unidades_totales,precio_carta,costos,q_insumos,margen,categoria
1000001,ANTICUCHO  VIKINGO,1.0,4.419,137,32.0,9.196954436,11.0,22.803045564,PLATO_FONDO_INDIVIDUAL
1000002,ANTICUCHO CLÁSICO,0.903,2.516,78,30.0,5.155154436,5.0,24.844845564,PLATO_FONDO_INDIVIDUAL
1000005,CHORIZO (1 UNIDAD),0.742,1.548,48,4.0,1.32,1.0,2.6799999999999997,COMPLEMENTO_ADICIONAL
1000006,TOMAHAWK 500 GR,1.0,9.161,284,66.0,28.127140436,9.0,37.872859563999995,PLATO_FONDO_INDIVIDUAL
1000008,PICAÑA,1.0,17.935,556,45.0,16.2926689728,9.0,28.7073310272,PLATO_FONDO_INDIVIDUAL
1000009,OJO DE CUADRIL,0.903,2.129,66,48.0,16.5058516728,9.0,31.4941483272,PLATO_FONDO_INDIVIDUAL
1000010,T-BONE STEAK,0.774,2.161,67,50.0,17.5658516728,9.0,32.4341483272,PLATO_FONDO_INDIVIDUAL
1000011,LOMO FINO,1.0,7.806,242,50.0,18.5013762728,9.0,31.4986237272,PLATO_FONDO_INDIVIDUAL
1000012,BIFE ANCHO,1.0,4.903,152,48.0,17.2158516728,9.0,30.7841483272,PLATO_FONDO_INDIVIDUAL
1000013,BIFE ANGOSTO,0.968,3.935,122,48.0,16.5558516728,9.0,31.4441483272,PLATO_FONDO_INDIVIDUAL
1000015,ASADO DE TIRA CON HUESO,1.0,9.0,279,39.0,13.3258516728,9.0,25.6741483272,PLATO_FONDO_INDIVIDUAL
1000016,ASADO DE TIRA SIN HUESO,1.0,3.871,120,43.0,13.6058516728,9.0,29.3941483272,PLATO_FONDO_INDIVIDUAL
1000017,LINGUINI SALSA CHAMP C/BIFE,0.323,0.452,14,53.0,21.034531853721518,15.0,31.965468146278482,PLATO_FONDO_INDIVIDUAL
1000019,LINGUINI SALSA CHAMP C/PICAÑA,0.484,0.71,22,53.0,19.85729915372152,13.0,33.14270084627848,PLATO_FONDO_INDIVIDUAL
1000020,LINGUINI SALSA 3 QUESOS C/BIFE,0.516,0.581,18,53.0,19.068858436,15.0,33.931141564,PLATO_FONDO_INDIVIDUAL
1000022,LINGUINI SALSA 3 QUESOS C/PICAÑA,0.581,1.226,38,53.0,18.195675736,15.0,34.804324264,PLATO_FONDO_INDIVIDUAL
1000023,RIGATONI SALSA PIC VIKIN C/BIFE,0.387,0.452,14,53.0,20.451294436,20.0,32.548705564,PLATO_FONDO_INDIVIDUAL
1000025,RIGATONI SALSA PIC VIKIN C/PICAÑA,0.484,0.71,22,53.0,19.578111736,20.0,33.421888264,PLATO_FONDO_INDIVIDUAL
1000026,PARRILLA VIKINGA,1.0,18.452,572,130.0,44.586551472,11.0,85.413448528,PLATO_FONDO_FAMILIAR
1000027,PARRILLA VALQUIRIA,1.0,13.742,426,87.0,26.432842472,9.0,60.567157527999996,PLATO_FONDO_FAMILIAR
1000028,TRÍO DE CORTES,1.0,5.613,174,110.0,44.976983872,9.0,65.023016128,PLATO_FONDO_FAMILIAR
1000035,EMPANADAS TIPO ARGENTINAS 3 UNID ,0.968,3.419,106,12.0,2.498482008,2.0,9.501517992,ENTRADA_PIQUEO
1000035,EMPANADAS TIPO ARGENTINAS 3 UNID,0.419,0.548,17,12.0,2.498482008,2.0,9.501517992,ENTRADA_PIQUEO
1000036,EMPANADAS TIPO ARGENTINAS 6 UNID ,0.935,2.935,91,19.9,4.748932008,2.0,15.151067991999998,ENTRADA_PIQUEO
1000036,EMPANADAS TIPO ARGENTINAS 6 UNID,0.516,0.742,23,19.9,4.748932008,2.0,15.151067991999998,ENTRADA_PIQUEO
1000037,PAN AL AJO AL GRILL,0.71,1.613,50,12.0,1.1150801056,1.0,10.8849198944,ENTRADA_PIQUEO
1000038,CORDERO A LA PARRILLA,1.0,18.0,558,38.0,15.155064686,7.0,22.844935314,PLATO_FONDO_INDIVIDUAL
1000039,PAVITA A LA PARRILLA,0.839,2.645,82,42.0,11.615064686,7.0,30.384935314,PLATO_FONDO_INDIVIDUAL
1000040,FILETE DE POLLO,1.0,30.161,935,32.0,7.943399036,7.0,24.056600964,PLATO_FONDO_INDIVIDUAL
1000041,CHULETA DE RES - 500 GR,1.0,7.839,243,42.0,19.149540436,7.0,22.850459564,PLATO_FONDO_INDIVIDUAL
